,category,channel_id,channel_name,subscribers_count,videos_count,total_views
0,ANIMAL,UC22go5LdQEw-iDuxFb4C0hw,SBS TV동물농장x애니멀봐,4830000,4182,4645947778
1,ANIMAL,UCmLiSrat4HW2k07ahKEJo4w,크림히어로즈,3770000,1110,1621239195
2,ANIMAL,UCLsj_Re3SxtkbZfX_ypY1eQ,수리노을SuriNoel,2130000,1207,824478253
3,ANIMAL,UCYaBl0gtXV_3sHW4bQjq0hA,22똥괭이네,297000,1720,159983693
4,ANIMAL,UC29-IlHm6kbDB1ox8GthODw,매탈남,412000,552,149357416
5,ANIMAL,UCP1CQH2PVJv4-glNTuVJl3g,밀키복이탄이MilkyBokiTan,2060000,570,745012728
6,ANIMAL,UCij19II32Olbu8_vghmYNCA,슈앤트리 SHU AND TREE,1750000,559,422021722
7,ANIMAL,UCOv1v2iptqYMVEwLAIUOhPw,정브르,1280000,1924,683894343
8,ANIMAL,UCwl9OALh8IMwSv_kFdHlMDA,다흑,906000,2820,636717498
9,ANIMAL,UCOp66Vup07X0YziXaaxqs2A,haha ha,1210000,594,480586697
10,FILM,UCaHGOzOyeYzLQeKsVkfLEGA,지무비 : G Movie,2870000,487,1220841488
11,FILM,UCpcft4FJXgUjnxWoQYsl7Ug,고몽,2200000,731,1244923154
12,FILM,UC79hJz6y1EEiIkwfHOuWC4w,김시선,1580000,564,645838677
13,FILM,UCrBpV_pG2kyMMEHCMTNzjAQ,리뷰엉이: Owl's Review,1450000,516,438725867
14,FILM,UCMguxwveCsLVpyKrLz-EFTg,달빛뮤즈,1250000,606,356145130
15,FILM,UCJOTgAmY3S0mz-6imyhkj8g,뭅뭅,1220000,3164,425697027
16,FILM,UCxlv4aOnrRTXMRSL8bVJqEw,B Man 삐맨,1180000,705,676114817
17,FILM,UCpCiIDf9UrfRqte55FHWlYQ,드림텔러(DreamTeller),1120000,185,187133611
18,SPORT,UCdtRAcd3L_UpV4tMXCw63NQ,피지컬갤러리,3130000,867,814092489
19,SPORT,UCoe-0EVDJnjlSoPK8ygcGwQ,김종국,2860000,114,276748268
20,SPORT,UCtm_QoN2SIxwCE-59shX7Qg,SPOTV,1900000,12487,1461324685
21,SPORT,UC4yq3FWEWqMvFNFBsV3gbKQ,힙으뜸,1520000,454,486576542
22,SPORT,UCdTDdygpZKdDew2s1s419iw,슛포러브,1430000,1041,931774744
23,SPORT,UCVhUw50KohEPkjL3Ox2saag,김연경,1260000,93,87341857
24,SPORT,UCYJDUekoQz0-bo8al1diLWQ,말왕,1000000,991,388945754
25,SPORT,UCT8DsZlac7D1_dx6d8Kh_Qw,JK아트사커,775000,655,535609428
26,GAMING,UC2NFRq9s2neD_Ml0tPhNC2Q,우주하마,1690000,2302,1172279333
27,GAMING,UCpJw2H9KKqwCCGQKRh1Bf2w,T1 Faker,1690000,1329,362882019
28,GAMING,UCDBAVzfX3yZ1hah0FHnOoaA,괴물쥐 유튜브,1040000,1340,1027995904
29,GAMING,UCUbOogiD-4PKDqaJfSOTC0g,테스터훈 TesterHoon,1270000,3006,1077963885
30,GAMING,UCD2YO_A_PVMgMDN9jpRrpVA,랄로,1030000,438,524991658
31,GAMING,UCYJ0Ucu9jPX5kn6SeDcNaIQ,Wolf,293000,754,85656147
32,GAMING,UCJpAwvQaZyCI5spAz7tipGA,PAKA,656000,692,488308999
33,GAMING,UCfIUuMA7U_jImP7oWfTe4Pw,이상호,703000,1956,382814869
34,GAMING,UChQ-VMvdGrYZxviQVMTJOHg,도티 TV,2340000,3453,2785438134
35,GAMING,UCNzcxCN_Hh_lu5RCSFXKgGQ,악동 김블루,1730000,1276,1309489970
36,MUKBANG,UC2fsxQr6Hcx1enORxXgKpxQ,제인,17600000,2095,7232558937
37,MUKBANG,UCxtLc0Jqq3SKBWlIXM_OC9g,홍유,14900000,628,4963417174
38,MUKBANG,UCPKNKldggioffXPkSmjs5lQ,햄지,11200000,593,3785972844
39,MUKBANG,UC4PpFUrfT2Pou7OwpVF0MUQ,쏘영,9750000,787,1482284147
40,MUKBANG,UCoLQZ4ZClFqVPCvvjuiUSRA,문복희,8880000,703,2443206297
41,MUKBANG,UCfpaSruWW3S4dibonKXENjA,쯔양,8090000,519,1848840611
42,MUKBANG,UCbzI92w5vWa6mEj1dACfy6g,푸메,5350000,664,1192313822
43,MUKBANG,UC-i2ywiuvjvpTy2zW-tXfkw,떵개떵,4890000,4917,2985689461
